model,diffusion_steps,mc,section,total_instances,total_evaluated,artifact_rate,rank_acc_all,rank_acc_any,mean_kl_valid,mean_kl_distractor
llada8b-n10-d2,2,2,Normalized_Cleaned,543.0,527.0,0.20543345543345543,0.38519924098671726,0.7362428842504743,0.007711931011148797,0.11711865621156028
llada8b-n10-d4,4,2,Normalized_Cleaned,543.0,491.0,0.41178266178266176,0.40325865580448067,0.7393075356415478,0.04000144935123344,0.17817005146478376
llada8b-n10-d8,8,2,Normalized_Cleaned,543.0,539.0,0.16544566544566544,0.39888682745825604,0.7217068645640075,0.05919285977853768,0.17071114643809354
llada8b-n10-d16,16,2,Normalized_Cleaned,543.0,543.0,0.0843101343101343,0.39594843462246776,0.7384898710865562,0.08172820738073794,0.228595275266262
llada8b-n10-d32,32,2,Normalized_Cleaned,543.0,541.0,0.06367521367521367,0.43253234750462105,0.767097966728281,0.15238546622300386,0.36734890257892994
llada8b-n10-d64,64,2,Normalized_Cleaned,543.0,540.0,0.06442816442816443,0.4148148148148148,0.7203703703703703,0.19589743864024373,0.3570241020254524
llada8b-n10-d128,128,2,Normalized_Cleaned,543.0,541.0,0.0641025641025641,0.3678373382624769,0.7042513863216266,0.21901069434732526,0.37280881941720856
llada8b-n10-d2,2,4,Normalized_Cleaned,543.0,527.0,0.20543345543345543,0.3776091081593928,0.7722960151802657,0.0195394253274439,0.136043160590903
llada8b-n10-d4,4,4,Normalized_Cleaned,543.0,491.0,0.41178266178266176,0.40325865580448067,0.7393075356415478,0.042057062145305094,0.17684079381720963
llada8b-n10-d8,8,4,Normalized_Cleaned,543.0,539.0,0.16544566544566544,0.39517625231910947,0.7291280148423006,0.0633514637255358,0.1686512100156808
llada8b-n10-d16,16,4,Normalized_Cleaned,543.0,543.0,0.0843101343101343,0.4143646408839779,0.7384898710865562,0.08964629382912649,0.2313345069149441
llada8b-n10-d32,32,4,Normalized_Cleaned,543.0,541.0,0.06367521367521367,0.4565619223659889,0.7597042513863216,0.1515413903904919,0.36122941716775014
llada8b-n10-d64,64,4,Normalized_Cleaned,543.0,540.0,0.06442816442816443,0.43333333333333335,0.7296296296296296,0.19931731929094376,0.34727326414283066
llada8b-n10-d128,128,4,Normalized_Cleaned,543.0,541.0,0.0641025641025641,0.4066543438077634,0.7134935304990758,0.21744158961259136,0.3641265264879514
llada8b-n10-d2,2,8,Normalized_Cleaned,543.0,527.0,0.20543345543345543,0.396584440227704,0.7609108159392789,0.017640098369879894,0.14468073222749928
llada8b-n10-d4,4,8,Normalized_Cleaned,543.0,491.0,0.41178266178266176,0.4256619144602851,0.7331975560081466,0.03724715393009085,0.15817727295841857
llada8b-n10-d8,8,8,Normalized_Cleaned,543.0,539.0,0.16544566544566544,0.4044526901669759,0.7439703153988868,0.05896238427858755,0.17010618292547316
llada8b-n10-d16,16,8,Normalized_Cleaned,543.0,543.0,0.0843101343101343,0.4180478821362799,0.7495395948434622,0.09091747684619877,0.23732022576898654
llada8b-n10-d32,32,8,Normalized_Cleaned,543.0,541.0,0.06367521367521367,0.4805914972273567,0.7763401109057301,0.1403120303892374,0.3695187763111223
llada8b-n10-d64,64,8,Normalized_Cleaned,543.0,540.0,0.06442816442816443,0.4185185185185185,0.7055555555555556,0.20938316010111477,0.3438326024108448
llada8b-n10-d128,128,8,Normalized_Cleaned,543.0,541.0,0.0641025641025641,0.38632162661737524,0.7282809611829945,0.21838180305624066,0.35114518574292203
llada8b-n10-d2,2,16,Normalized_Cleaned,543.0,527.0,0.20543345543345543,0.4307400379506641,0.7817836812144212,0.027465019083031415,0.1609519162262092
llada8b-n10-d4,4,16,Normalized_Cleaned,543.0,491.0,0.41178266178266176,0.40529531568228105,0.7515274949083504,0.03408239325174826,0.1417545064063684
llada8b-n10-d8,8,16,Normalized_Cleaned,543.0,539.0,0.16544566544566544,0.43413729128014844,0.7588126159554731,0.060431663661999285,0.1707845081058176
llada8b-n10-d16,16,16,Normalized_Cleaned,543.0,543.0,0.0843101343101343,0.45119705340699817,0.7716390423572744,0.08930324901403383,0.2354360765037185
llada8b-n10-d32,32,16,Normalized_Cleaned,543.0,541.0,0.06367521367521367,0.4676524953789279,0.7726432532347505,0.13315902464097593,0.3547322340207576
llada8b-n10-d64,64,16,Normalized_Cleaned,543.0,540.0,0.06442816442816443,0.43703703703703706,0.725925925925926,0.20500246190414614,0.3591858302317445
llada8b-n10-d128,128,16,Normalized_Cleaned,543.0,541.0,0.0641025641025641,0.3955637707948244,0.7486136783733827,0.2095079173561041,0.3637766298993555
llada8b-n10-d2,2,32,Normalized_Cleaned,543.0,527.0,0.20543345543345543,0.4459203036053131,0.7855787476280834,0.02931460979444432,0.1588135385781097
llada8b-n10-d4,4,32,Normalized_Cleaned,543.0,491.0,0.41178266178266176,0.38289205702647655,0.7535641547861507,0.038897780250877284,0.14801884686961775
llada8b-n10-d8,8,32,Normalized_Cleaned,543.0,539.0,0.16544566544566544,0.45640074211502785,0.8014842300556586,0.052153289432759715,0.16859841185259297
llada8b-n10-d16,16,32,Normalized_Cleaned,543.0,543.0,0.0843101343101343,0.47882136279926335,0.7587476979742173,0.08351313862767847,0.23534424861967798
llada8b-n10-d32,32,32,Normalized_Cleaned,543.0,541.0,0.06367521367521367,0.4436229205175601,0.7726432532347505,0.13344544876420894,0.32881725396362155
llada8b-n10-d64,64,32,Normalized_Cleaned,543.0,540.0,0.06442816442816443,0.4351851851851852,0.7425925925925926,0.20366916567460933,0.37626391592867536
llada8b-n10-d128,128,32,Normalized_Cleaned,543.0,541.0,0.0641025641025641,0.4491682070240296,0.7578558225508318,0.20749925902227614,0.3675179642627472
llada8b-n10-d2,2,64,Normalized_Cleaned,543.0,527.0,0.20543345543345543,0.5104364326375711,0.8121442125237192,0.03906377211457602,0.15899008731964842
llada8b-n10-d4,4,64,Normalized_Cleaned,543.0,491.0,0.41178266178266176,0.4623217922606925,0.7983706720977597,0.031069512830491527,0.14865439037169453
llada8b-n10-d8,8,64,Normalized_Cleaned,543.0,539.0,0.16544566544566544,0.5306122448979592,0.8311688311688312,0.0460535494750375,0.17233133123124023
llada8b-n10-d16,16,64,Normalized_Cleaned,543.0,543.0,0.0843101343101343,0.48066298342541436,0.7753222836095764,0.08566326036778352,0.21913740224143416
llada8b-n10-d32,32,64,Normalized_Cleaned,543.0,541.0,0.06367521367521367,0.4584103512014787,0.7578558225508318,0.13154465153232278,0.30872214419310834
llada8b-n10-d64,64,64,Normalized_Cleaned,543.0,540.0,0.06442816442816443,0.48518518518518516,0.8037037037037037,0.18677147796731755,0.3865890284293296
llada8b-n10-d128,128,64,Normalized_Cleaned,543.0,541.0,0.0641025641025641,0.4713493530499076,0.7689463955637708,0.1858065177155653,0.3677708580850697
llada8b-n10-d2,2,128,Normalized_Cleaned,543.0,527.0,0.20543345543345543,0.6641366223908919,0.8823529411764706,0.03582188449208173,0.1606691715716522
