run_dir,summary_file,k,metric_variant,metric_key,total_instances,evaluated_instances,ranking_accuracy_all,ranking_accuracy_any,artifact_rate,bootstrap_reps,all_ci_low,all_ci_high,any_ci_low,any_ci_high
results\llama8b-n100,summary.jsonl,,unnormalized_unfiltered,empirical_KL_div_all,543,543,0.7790055248618785,0.9392265193370166,0.02514308214124052,20,0.7494475138121547,0.81146408839779,0.9300184162062615,0.9494014732965009
results\llama8b-n100,summary.jsonl,,unnormalized_cleaned,empirical_KL_div_clean,543,543,0.7771639042357275,0.9392265193370166,0.02514308214124052,20,0.7447974217311234,0.8069981583793738,0.9244935543278084,0.9521178637200737
results\llama8b-n100,summary.jsonl,,normalized_unfiltered,empirical_KL_div_normalized_all,543,543,0.7605893186003683,0.9281767955801105,0.02514308214124052,20,0.7393646408839779,0.7882136279926335,0.9133517495395949,0.9439686924493554
results\llama8b-n100,summary.jsonl,,normalized_cleaned,empirical_KL_div_normalized_clean,543,543,0.7605893186003683,0.9300184162062615,0.02514308214124052,20,0.7356813996316759,0.7856813996316758,0.9170349907918969,0.9467771639042357
results\llada8b-n10-d128,summary_mc128.jsonl,128,unnormalized_unfiltered,empirical_KL_div_all,543,543,0.567219152854512,0.7900552486187845,0.06383943796466816,20,0.5113259668508288,0.5994935543278085,0.7585635359116022,0.8197053406998158
results\llada8b-n10-d128,summary_mc128.jsonl,128,unnormalized_cleaned,empirical_KL_div_clean,543,541,0.5693160813308688,0.7948243992606284,0.06383943796466816,20,0.5376155268022181,0.6077171903881701,0.7752772643253235,0.8237985212569315
results\llada8b-n10-d128,summary_mc128.jsonl,128,normalized_unfiltered,empirical_KL_div_normalized_all,543,543,0.5893186003683242,0.7992633517495396,0.06383943796466816,20,0.5253683241252302,0.6244014732965009,0.7586556169429097,0.8269797421731123
results\llada8b-n10-d128,summary_mc128.jsonl,128,normalized_cleaned,empirical_KL_div_normalized_clean,543,541,0.5859519408502772,0.7948243992606284,0.06383943796466816,20,0.5600739371534196,0.6189001848428836,0.7715804066543438,0.8097042513863216
results\llada8b-n10-d128,summary_mc16.jsonl,16,unnormalized_unfiltered,empirical_KL_div_all,543,543,0.3885819521178637,0.7348066298342542,0.06383943796466816,20,0.35437384898710866,0.4180478821362799,0.7043738489871086,0.7578729281767955
results\llada8b-n10-d128,summary_mc16.jsonl,16,unnormalized_cleaned,empirical_KL_div_clean,543,541,0.3844731977818854,0.7282809611829945,0.06383943796466816,20,0.3460720887245841,0.42296672828096116,0.7024029574861368,0.7768022181146026
results\llada8b-n10-d128,summary_mc16.jsonl,16,normalized_unfiltered,empirical_KL_div_normalized_all,543,543,0.3867403314917127,0.7550644567219152,0.06383943796466816,20,0.33848987108655615,0.41929097605893184,0.7180478821362799,0.7892725598526703
results\llada8b-n10-d128,summary_mc16.jsonl,16,normalized_cleaned,empirical_KL_div_normalized_clean,543,541,0.3955637707948244,0.7486136783733827,0.06383943796466816,20,0.3536506469500924,0.4375693160813308,0.7243068391866914,0.781007393715342
results\llada8b-n10-d128,summary_mc2.jsonl,2,unnormalized_unfiltered,empirical_KL_div_all,543,543,0.3720073664825046,0.7034990791896869,0.06383943796466816,20,0.3359576427255985,0.40833333333333327,0.6672651933701658,0.7332412523020257
results\llada8b-n10-d128,summary_mc2.jsonl,2,unnormalized_cleaned,empirical_KL_div_clean,543,541,0.36414048059149723,0.6987060998151571,0.06383943796466816,20,0.3539279112754159,0.3997227356746765,0.6857670979667283,0.7412199630314233
results\llada8b-n10-d128,summary_mc2.jsonl,2,normalized_unfiltered,empirical_KL_div_normalized_all,543,543,0.3848987108655617,0.7182320441988951,0.06383943796466816,20,0.3479742173112339,0.40999079189686927,0.6792817679558012,0.7627992633517495
results\llada8b-n10-d128,summary_mc2.jsonl,2,normalized_cleaned,empirical_KL_div_normalized_clean,543,541,0.3678373382624769,0.7042513863216266,0.06383943796466816,20,0.34750462107208874,0.39292975970425137,0.6755545286506469,0.7266173752310536
results\llada8b-n10-d128,summary_mc256.jsonl,256,unnormalized_unfiltered,empirical_KL_div_all,543,543,0.5948434622467772,0.8047882136279927,0.06383943796466816,20,0.5484346224677716,0.6283609576427256,0.7741712707182321,0.8354051565377532
results\llada8b-n10-d128,summary_mc256.jsonl,256,unnormalized_cleaned,empirical_KL_div_clean,543,541,0.5859519408502772,0.8040665434380776,0.06383943796466816,20,0.55637707948244,0.634011090573013,0.7762476894639556,0.8291589648798521
results\llada8b-n10-d128,summary_mc256.jsonl,256,normalized_unfiltered,empirical_KL_div_normalized_all,543,543,0.5930018416206262,0.8103130755064457,0.06383943796466816,20,0.5405156537753223,0.6298342541436464,0.7761049723756906,0.8465469613259669
results\llada8b-n10-d128,summary_mc256.jsonl,256,normalized_cleaned,empirical_KL_div_normalized_clean,543,541,0.5914972273567468,0.8022181146025879,0.06383943796466816,20,0.5599815157116451,0.6288354898336413,0.7786968576709796,0.8226432532347504
results\llada8b-n10-d128,summary_mc32.jsonl,32,unnormalized_unfiltered,empirical_KL_div_all,543,543,0.4088397790055249,0.7624309392265194,0.06383943796466816,20,0.3753222836095764,0.4425414364640884,0.7252302025782689,0.800414364640884
results\llada8b-n10-d128,summary_mc32.jsonl,32,unnormalized_cleaned,empirical_KL_div_clean,543,541,0.40850277264325324,0.7541589648798521,0.06383943796466816,20,0.3719500924214418,0.4408964879852126,0.7261552680221812,0.802079482439926
results\llada8b-n10-d128,summary_mc32.jsonl,32,normalized_unfiltered,empirical_KL_div_normalized_all,543,543,0.44014732965009207,0.7550644567219152,0.06383943796466816,20,0.3931399631675875,0.46786372007366483,0.7170810313075506,0.7873388581952118
results\llada8b-n10-d128,summary_mc32.jsonl,32,normalized_cleaned,empirical_KL_div_normalized_clean,543,541,0.4491682070240296,0.7578558225508318,0.06383943796466816,20,0.4185304990757856,0.4787430683918669,0.7291589648798521,0.7884011090573013
