run_dir,metric_key,non_alnum_ratio,max_consec_repeat,total_instances,evaluated_instances,ranking_accuracy_all,ranking_accuracy_any,artifact_rate,bootstrap_reps,all_ci_low,all_ci_high,any_ci_low,any_ci_high
results/llama8b-n100,empirical_KL_div_normalized_clean,0.25,8,543,543,0.7679558011049724,0.9244935543278084,0.0939532475058802,5000,0.7329650092081031,0.8029465930018416,0.9023941068139963,0.9465930018416207
results/llama8b-n100,empirical_KL_div_normalized_clean,0.25,12,543,543,0.7679558011049724,0.9244935543278084,0.0939286925641982,5000,0.7329650092081031,0.8029465930018416,0.9023941068139963,0.9465930018416207
results/llama8b-n100,empirical_KL_div_normalized_clean,0.25,20,543,543,0.7679558011049724,0.9244935543278084,0.09391027635793668,5000,0.7329650092081031,0.8029465930018416,0.9023941068139963,0.9465930018416207
results/llama8b-n100,empirical_KL_div_normalized_clean,0.35,8,543,543,0.7587476979742173,0.9300184162062615,0.025291022473786694,5000,0.7237569060773481,0.7937384898710865,0.9079189686924494,0.9502762430939227
results/llama8b-n100,empirical_KL_div_normalized_clean,0.35,12,543,543,0.7605893186003683,0.9300184162062615,0.02522963511958166,5000,0.7255985267034991,0.7955801104972375,0.9079189686924494,0.9502762430939227
results/llama8b-n100,empirical_KL_div_normalized_clean,0.35,20,543,543,0.7605893186003683,0.9300184162062615,0.02521121891332015,5000,0.7255985267034991,0.7955801104972375,0.9079189686924494,0.9502762430939227
results/llama8b-n100,empirical_KL_div_normalized_clean,0.45,8,543,543,0.7624309392265194,0.9300184162062615,0.02198376490503564,5000,0.7274401473296501,0.7974217311233885,0.9079189686924494,0.9502762430939227
results/llama8b-n100,empirical_KL_div_normalized_clean,0.45,12,543,543,0.7624309392265194,0.9300184162062615,0.0219101000799896,5000,0.7274401473296501,0.7974217311233885,0.9079189686924494,0.9502762430939227
results/llama8b-n100,empirical_KL_div_normalized_clean,0.45,20,543,543,0.7624309392265194,0.9300184162062615,0.021860990196625567,5000,0.7274401473296501,0.7974217311233885,0.9079189686924494,0.9502762430939227
results/llama8b-n100-t2.0,empirical_KL_div_normalized_clean,0.25,8,543,543,0.8434622467771639,0.9465930018416207,0.5377716081110329,5000,0.8139963167587477,0.8729281767955801,0.9263351749539595,0.9650092081031307
results/llama8b-n100-t2.0,empirical_KL_div_normalized_clean,0.25,12,543,543,0.8434622467771639,0.9465930018416207,0.5352880328422699,5000,0.8139963167587477,0.8729281767955801,0.9263351749539595,0.9650092081031307
results/llama8b-n100-t2.0,empirical_KL_div_normalized_clean,0.25,20,543,543,0.8434622467771639,0.9484346224677717,0.5333882344753664,5000,0.8139963167587477,0.8729281767955801,0.9281767955801105,0.9668508287292817
