run_dir,summary_file,k,metric_variant,metric_key,total_instances,evaluated_instances,ranking_accuracy_all,ranking_accuracy_any,artifact_rate,bootstrap_reps,all_ci_low,all_ci_high,any_ci_low,any_ci_high
results/llama8b-n100,summary.jsonl,,unnormalized_unfiltered,empirical_KL_div_all,543,543,0.7790055248618785,0.9392265193370166,0.02514308214124052,5000,0.7440147329650092,0.8121546961325967,0.9171270718232044,0.9576427255985267
results/llama8b-n100,summary.jsonl,,unnormalized_cleaned,empirical_KL_div_clean,543,543,0.7771639042357275,0.9392265193370166,0.02514308214124052,5000,0.7421731123388582,0.8121546961325967,0.9189686924493554,0.9576427255985267
results/llama8b-n100,summary.jsonl,,normalized_unfiltered,empirical_KL_div_normalized_all,543,543,0.7605893186003683,0.9281767955801105,0.02514308214124052,5000,0.7237569060773481,0.7955801104972375,0.9060313075506446,0.9502762430939227
results/llama8b-n100,summary.jsonl,,normalized_cleaned,empirical_KL_div_normalized_clean,543,543,0.7605893186003683,0.9300184162062615,0.02514308214124052,5000,0.7237569060773481,0.7955801104972375,0.9079189686924494,0.9502762430939227
results/llama8b-n100-t2.0,summary.jsonl,,unnormalized_unfiltered,empirical_KL_div_all,543,543,0.8839779005524862,0.9705340699815838,0.4942891623416486,5000,0.856353591160221,0.9097605893186004,0.9558011049723757,0.9834254143646409
results/llama8b-n100-t2.0,summary.jsonl,,unnormalized_cleaned,empirical_KL_div_clean,543,543,0.8729281767955801,0.9631675874769797,0.4942891623416486,5000,0.8453038674033149,0.9005524861878453,0.9465930018416207,0.9779005524861878
results/llama8b-n100-t2.0,summary.jsonl,,normalized_unfiltered,empirical_KL_div_normalized_all,543,543,0.8416206261510129,0.9447513812154696,0.4942891623416486,5000,0.8103130755064457,0.8729281767955801,0.9244935543278084,0.9631675874769797
results/llama8b-n100-t2.0,summary.jsonl,,normalized_cleaned,empirical_KL_div_normalized_clean,543,543,0.8471454880294659,0.9429097605893186,0.4942891623416486,5000,0.8158379373848987,0.8784530386740331,0.9226519337016574,0.9631675874769797
results/llada8b-n10-d2,summary_mc128.jsonl,128,unnormalized_unfiltered,empirical_KL_div_all,543,543,0.6998158379373849,0.8913443830570903,0.20527931246163292,5000,0.6611418047882136,0.7384898710865562,0.8637200736648251,0.9171270718232044
results/llada8b-n10-d2,summary_mc128.jsonl,128,unnormalized_cleaned,empirical_KL_div_clean,543,527,0.6736242884250474,0.8842504743833017,0.20527931246163292,5000,0.6318785578747628,0.713472485768501,0.855787476280835,0.9108159392789373
results/llada8b-n10-d2,summary_mc128.jsonl,128,normalized_unfiltered,empirical_KL_div_normalized_all,543,543,0.6869244935543278,0.8876611418047882,0.20527931246163292,5000,0.6482504604051565,0.7255985267034991,0.860036832412523,0.9134438305709024
results/llada8b-n10-d2,summary_mc128.jsonl,128,normalized_cleaned,empirical_KL_div_normalized_clean,543,527,0.6641366223908919,0.8823529411764706,0.20527931246163292,5000,0.6242884250474383,0.7039848197343453,0.855787476280835,0.9089184060721063
results/llada8b-n10-d2,summary_mc16.jsonl,16,unnormalized_unfiltered,empirical_KL_div_all,543,543,0.44935543278084716,0.7808471454880295,0.20527931246163292,5000,0.40699815837937386,0.48987108655616945,0.7458563535911602,0.8139963167587477
results/llada8b-n10-d2,summary_mc16.jsonl,16,unnormalized_cleaned,empirical_KL_div_clean,543,527,0.444022770398482,0.7685009487666035,0.20527931246163292,5000,0.40037950664136623,0.4857685009487666,0.7324478178368121,0.8045540796963947
results/llada8b-n10-d2,summary_mc16.jsonl,16,normalized_unfiltered,empirical_KL_div_normalized_all,543,543,0.4732965009208103,0.8029465930018416,0.20527931246163292,5000,0.43278084714548803,0.5138121546961326,0.7697974217311234,0.8360957642725598
results/llada8b-n10-d2,summary_mc16.jsonl,16,normalized_cleaned,empirical_KL_div_normalized_clean,543,527,0.4307400379506641,0.7817836812144212,0.20527931246163292,5000,0.3870967741935484,0.4725332068311188,0.7476280834914611,0.8159392789373814
results/llada8b-n10-d2,summary_mc2.jsonl,2,unnormalized_unfiltered,empirical_KL_div_all,543,543,0.4014732965009208,0.7348066298342542,0.20527931246163292,5000,0.36095764272559855,0.4419889502762431,0.6961325966850829,0.7716390423572744
results/llada8b-n10-d2,summary_mc2.jsonl,2,unnormalized_cleaned,empirical_KL_div_clean,543,527,0.4060721062618596,0.7362428842504743,0.20527931246163292,5000,0.36432637571157495,0.4478178368121442,0.698292220113852,0.7722960151802657
results/llada8b-n10-d2,summary_mc2.jsonl,2,normalized_unfiltered,empirical_KL_div_normalized_all,543,543,0.4106813996316759,0.7513812154696132,0.20527931246163292,5000,0.3701657458563536,0.4530386740331492,0.714548802946593,0.7882136279926335
results/llada8b-n10-d2,summary_mc2.jsonl,2,normalized_cleaned,empirical_KL_div_normalized_clean,543,527,0.38519924098671726,0.7362428842504743,0.20527931246163292,5000,0.34345351043643263,0.428842504743833,0.698292220113852,0.7723434535104358
results/llada8b-n10-d2,summary_mc256.jsonl,256,unnormalized_unfiltered,empirical_KL_div_all,543,543,0.7440147329650092,0.8950276243093923,0.20527931246163292,5000,0.7071823204419889,0.7808471454880295,0.8692449355432781,0.9208103130755064
results/llada8b-n10-d2,summary_mc256.jsonl,256,unnormalized_cleaned,empirical_KL_div_clean,543,527,0.7381404174573055,0.8994307400379506,0.20527931246163292,5000,0.7020872865275142,0.7760910815939279,0.872865275142315,0.9240986717267552
results/llada8b-n10-d2,summary_mc256.jsonl,256,normalized_unfiltered,empirical_KL_div_normalized_all,543,543,0.7255985267034991,0.8987108655616943,0.20527931246163292,5000,0.6869244935543278,0.7624309392265194,0.8729281767955801,0.9226519337016574
results/llada8b-n10-d2,summary_mc256.jsonl,256,normalized_cleaned,empirical_KL_div_normalized_clean,543,527,0.7039848197343453,0.9184060721062619,0.20527931246163292,5000,0.6641366223908919,0.7438330170777988,0.8956356736242884,0.9411764705882353
results/llada8b-n10-d2,summary_mc32.jsonl,32,unnormalized_unfiltered,empirical_KL_div_all,543,543,0.4843462246777164,0.7826887661141805,0.20527931246163292,5000,0.44014732965009207,0.5248618784530387,0.7476979742173112,0.8158379373848987
results/llada8b-n10-d2,summary_mc32.jsonl,32,unnormalized_cleaned,empirical_KL_div_clean,543,527,0.4667931688804554,0.7666034155597723,0.20527931246163292,5000,0.42314990512333966,0.50853889943074,0.7305502846299811,0.8007590132827325
results/llada8b-n10-d2,summary_mc32.jsonl,32,normalized_unfiltered,empirical_KL_div_normalized_all,543,543,0.5009208103130756,0.8084714548802947,0.20527931246163292,5000,0.4585635359116022,0.5432780847145487,0.7753222836095764,0.8416206261510129
results/llada8b-n10-d2,summary_mc32.jsonl,32,normalized_cleaned,empirical_KL_div_normalized_clean,543,527,0.4459203036053131,0.7855787476280834,0.20527931246163292,5000,0.40417457305502846,0.48956356736242884,0.7495256166982922,0.8197343453510436
results/llada8b-n10-d2,summary_mc4.jsonl,4,unnormalized_unfiltered,empirical_KL_div_all,543,543,0.42173112338858193,0.7697974217311234,0.20527931246163292,5000,0.37937384898710863,0.4622467771639042,0.7329650092081031,0.8047882136279927
results/llada8b-n10-d2,summary_mc4.jsonl,4,unnormalized_cleaned,empirical_KL_div_clean,543,527,0.4060721062618596,0.7798861480075902,0.20527931246163292,5000,0.36432637571157495,0.4478178368121442,0.7438330170777988,0.8140417457305503
results/llada8b-n10-d2,summary_mc4.jsonl,4,normalized_unfiltered,empirical_KL_div_normalized_all,543,543,0.42357274401473294,0.7697974217311234,0.20527931246163292,5000,0.3830570902394107,0.46413443830570833,0.7329650092081031,0.8047882136279927
